nome,idade,cpf,rg,data_nasc,sexo,signo,mae,pai,email,cep,endereco,numero,bairro,data,cidade,estado,telefone_fixo,celular,altura,peso,,tipo_sanguineo,cor,valor_compra
Nelson Manoel Fábio Rodrigues,54,686.983.206-43,46.773.968-7,26/01/1969,Masculino,Aquário,Emilly Francisca,Caio Cláudio Rodrigues,nelson-rodrigues92@gerdal.com.br,79050-530,Rua Dona Florência,672,Vila Ieda,24/03/2022,Campo Grande,MS,(67) 3643-4220,(67) 99691-4137,,96,,O+,vermelho,"R$ 2.500,00"
Rafael Marcos Vinicius da Luz,66,363.759.291-64,46.038.990-7,04/02/1957,Masculino,Aquário,Clarice Pietra,Henrique Giovanni Nathan da Luz,rafael_marcos_daluz@lojaprincezinha.com.br,68908-265,Travessa Pará,104,Pacoval,24/03/2022,Macapá,AP,(96) 3527-6843,(96) 98359-1522,,80,,O+,laranja,"R$ 3.400,00"
Laura Bruna das Neves,44,778.761.557-58,49.188.311-0,03/02/1979,Feminino,Aquário,Aurora Simone Nicole,Ryan Lorenzo das Neves,laura_dasneves@heineken.com.br,65025-260,Rua Emílio Lisboa,169,Coréia,24/03/2022,São Luís,MA,(98) 2591-9490,(98) 98997-2584,,57,,AB+,roxo,"R$ 2.500,00"
,,,,,,,,,,,,,,,,,,,,,,,,
Rafael Benjamin Baptista,73,720.563.365-61,16.231.510-7,25/02/1950,Masculino,Peixes,Joana Alana Emily,Pedro Henrique Otávio Baptista,rafael_baptista@msds.com.br,72915-612,Quadra QA 4,691,Mansões Olinda,24/03/2022,Águas Lindas de Goiás,GO,(61) 3706-8631,(61) 98927-1182,,74,,AB-,verde,"R$ 3.400,00"
Gael Elias Porto,78,153.069.109-55,33.792.371-1,10/02/1945,Masculino,Aquário,Lorena Sara Kamilly,Nathan Lucas Porto,gaeleliasporto@hotamail.com,60850-240,Rua Sete Estrelas,123,Aerolândia,24/03/2022,Fortaleza,CE,(85) 2982-4796,(85) 99707-2315,,74,,A+,verde,"R$ 2.500,00"
Joaquim Luan Iago Lima,36,801.845.598-80,17.620.974-8,23/01/1987,Masculino,Aquário,Sebastiana Nina,Samuel Gael Márcio Lima,joaquim.luan.lima@uou.com.br,78057-324,Rua das Bromélias,672,Altos da Glória,24/03/2022,Cuiabá,MT,(65) 3796-8593,(65) 98203-3483,,72,,B+,azul,"R$ 5.300,00"
Vera Larissa Milena da Costa,27,014.538.947-21,43.426.802-1,02/03/1996,Feminino,Peixes,Rayssa Gabrielly,Enrico Manuel Erick da Costa,vera_larissa_dacosta@portalpublicidade.com.br,65043-851,Rua São Francisco,232,Vila Primavera,24/03/2022,São Luís,MA,(98) 2880-7593,(98) 98101-4520,,73,,O+,amarelo,"R$ 2.500,00"
Kauê Manuel das Neves,57,448.428.519-37,41.939.446-1,22/02/1966,Masculino,Peixes,Luzia Larissa,Thiago João das Neves,kaue_manuel_dasneves@molsanto.com,41213-620,Travessa Abelardo Barbosa,294,Sussuarana,24/03/2022,Salvador,BA,(71) 2560-2908,(71) 98176-7732,,73,,AB+,vermelho,"R$ 3.400,00"
Renan Raimundo Otávio da Cunha,49,891.423.323-54,39.044.861-8,01/03/1974,Masculino,Peixes,Nair Andrea,Benedito Enzo Raul da Cunha,renan_dacunha@skapcom.com.br,87390-970,Avenida Amazonas 306,485,Centro,24/03/2022,Boa Esperança,PR,(44) 2939-2840,(44) 99191-2197,,69,,AB+,roxo,"R$ 2.500,00"
Isabelle Sophia Cecília Moreira,63,752.951.562-49,29.860.952-6,13/01/1960,Feminino,Capricórnio,Pietra Rita Luiza,Renan Pedro Henrique Diego Moreira,isabelle-moreira91@albap.com.br,64004-360,Rua Itamaraty,456,Matadouro,24/03/2022,Teresina,PI,(86) 2722-0417,(86) 99266-4536,,71,,B+,azul,"R$ 1.400,00"
Luís Kevin Bryan dos Santos,26,214.000.919-34,18.464.438-0,02/03/1997,Masculino,Peixes,Patrícia Mirella,Fernando Rodrigo dos Santos,luis-dossantos93@mpcnet.com.br,77023-030,Quadra 804 Sul Alameda 11,778,Plano Diretor Sul,24/03/2022,Palmas,TO,(63) 3938-2255,(63) 99733-4405,,99,,O+,laranja,"R$ 3.500,00"
Bárbara Natália Ramos,55,075.197.596-60,46.235.029-0,01/03/1968,Feminino,Peixes,Josefa Daniela,Sebastião Ricardo Otávio Ramos,barbara-ramos81@lanchesdahora.com.br,04255-020,Rua João Homem,455,São João Clímaco,24/03/2022,São Paulo,SP,(11) 2626-9014,(11) 98372-3722,,70,,AB+,laranja,"R$ 3.500,00"
Lavínia Rafaela Mendes,55,132.667.008-56,45.415.403-3,04/01/1968,Feminino,Capricórnio,Giovana Aparecida,Vitor Isaac Márcio Mendes,laviniarafaelamendes@guiandotelecom.com.br,88354-270,Rua João Paulo I,588,Jardim Maluche,24/03/2022,Brusque,SC,(47) 3755-4745,(47) 98271-7691,,57,,O+,vermelho,"R$ 2.500,00"
,,,,,,,,,,,,,,,,,,,,,,,,
Benjamin Fábio Cavalcanti,42,271.490.233-20,40.142.714-6,10/01/1981,Masculino,Capricórnio,Carolina Francisca,Danilo Pedro Henrique Nathan Cavalcanti,benjamin.fabio.cavalcanti@consultoriosjc.com.br,69918-120,Rua Frei Caneca,335,Doca Furtado,24/03/2022,Rio Branco,AC,(68) 3503-4807,(68) 98824-1262,,86,,AB+,roxo,"R$ 5.300,00"
Alana Simone Lúcia Rezende,41,182.507.738-02,34.474.912-5,02/03/1982,Feminino,Peixes,Sarah Mariana Bárbara,Diego Henrique Rezende,alana-rezende96@glaudeimar.com.br,29307-411,Rua Santa Terezinha,110,Nossa Senhora da Penha,24/03/2022,Cachoeiro de Itapemirim,ES,(28) 3837-7292,(28) 98423-6709,,70,,O+,azul,"R$ 5.300,00"
Natália Débora da Cruz,32,477.948.666-18,40.382.197-6,24/02/1991,Feminino,Peixes,Alícia Vitória,Bruno Ricardo Nelson da Cruz,natalia_dacruz@valedesign.com.br,19061-470,Rua Primo Furlanetto,697,Jardim Cinqüentenário,24/03/2022,Presidente Prudente,SP,(18) 3550-1593,(18) 98515-0442,,53,,AB+,vermelho,"R$ 2.100,00"
Joaquim Matheus Fábio Aparício,38,721.215.970-00,29.496.613-4,02/03/1985,Masculino,Peixes,Rafaela Cláudia Gabrielly,Benício Hugo Luiz Aparício,joaquim_aparicio@fundasa.com.br,78158-638,Rua Aveiro,446,Jardim dos Estados,24/03/2022,Várzea Grande,MT,(65) 2968-4295,(65) 99248-5125,,94,,A+,vermelho,"R$ 5.300,00"
Carlos Igor Elias Carvalho,35,591.166.409-77,20.948.929-7,03/01/1988,Masculino,Capricórnio,Ayla Helena Heloise,Leandro Kauê Martin Carvalho,carlos_igor_carvalho@jglima.com.br,59010-365,Vila São Manoel,706,Rocas,24/03/2022,Natal,RN,(84) 3993-7298,(84) 99334-3795,,79,,A-,roxo,"R$ 2.100,00"
Danilo Yago Silveira,31,638.689.003-57,38.528.408-1,01/03/1992,Masculino,Peixes,Teresinha Betina Maria,Luís Elias Silveira,danilo-silveira70@hotmai.com,82220-146,Rua Antônio Furtado Figueiredo,436,Barreirinha,24/03/2022,Curitiba,PR,(41) 3630-3433,(41) 99297-9635,,72,,O+,amarelo,"R$ 5.300,00"
Sarah Patrícia Isabella Corte Real,78,481.240.399-50,16.782.242-1,09/02/1945,Feminino,Aquário,Carla Alice,Ricardo Theo Gustavo Corte Real,sarah_cortereal@grupoarteoficio.com.br,69314-712,Rua CJ-6,307,Jardim Tropical,24/03/2022,Boa Vista,RR,(95) 2919-1729,(95) 99649-7994,,51,,B+,azul,"R$ 1.600,00"
,,,,,,,,,,,,,,,,,,,,,,,,
Bárbara Camila Clara Moraes,66,899.669.675-75,10.241.733-7,01/03/1957,Feminino,Peixes,Teresinha Aline Camila,Giovanni Breno Giovanni Moraes,barbara_camila_moraes@live.se,69921-710,Travessa da Abelha,176,Tancredo Neves,24/03/2022,Rio Branco,AC,(68) 3748-0598,(68) 99982-8713,,67,,A-,vermelho,"R$ 2.500,00"
Mateus Yuri Yago Nascimento,66,056.735.151-38,12.032.721-1,16/01/1957,Masculino,Capricórnio,Aline Helena,Ryan Leandro Nascimento,mateus.yuri.nascimento@hushmail.com,,,,,,,,,,,,,,,
Henrique Thiago Brito,43,011.443.590-15,24.723.555-6,02/02/1980,Masculino,Aquário,Jennifer Mirella,Hugo Anthony Brito,henrique-brito75@dprf.gov.br,82520-250,Rua João Simião,849,Jardim Social,24/03/2022,Curitiba,PR,(41) 2698-0908,(41) 98981-4274,,73,,B+,amarelo,"R$ 2.500,00"
Nina Sophie Viana,52,147.275.438-77,12.868.126-3,17/02/1971,Feminino,Aquário,Priscila Tereza,Geraldo André Viana,nina_sophie_viana@gmx.ca,60714-326,Vila Mary Janne,940,Itaperi,25/03/2022,Fortaleza,CE,(85) 3684-0536,(85) 98285-3735,,53,,AB+,vermelho,"R$ 5.300,00"
